Date,Name,close,high,low,netForeign,open,value,volume
07-24-2009,PSEi,2676.47,2676.98,2635.07,361112000.0,2635.07,0.0,4419194000.0
07-27-2009,Financials,594.79,597.88,583.33,3529000.0,583.33,0.0,681784000.0
07-27-2009,Industrials,4162.75,4193.06,4041.8,200816000.0,4041.8,0.0,1071135000.0
07-27-2009,HoldingFirms,1500.91,1507.13,1479.13,122182000.0,1479.13,0.0,617541000.0
07-27-2009,Property,939.3,939.3,917.98,144100000.0,917.98,0.0,800736000.0
07-27-2009,Services,1361.92,1367.58,1358.14,121128000.0,1360.28,0.0,447126000.0
07-27-2009,MiningAndOil,6895.69,6961.17,6825.3,-42574000.0,6891.21,0.0,280612000.0
07-27-2009,All Shares,1730.66,1733.18,1706.64,0.0,1706.64,0.0,0.0
07-27-2009,PSEi,2732.62,2733.74,2686.61,549305000.0,2686.61,0.0,3898936000.0
07-28-2009,Financials,584.38,598.51,584.38,-30194000.0,595.5,0.0,327375000.0
07-28-2009,Industrials,4443.09,4456.43,4201.03,535401000.0,4201.03,0.0,1778188000.0
07-28-2009,HoldingFirms,1483.05,1510.56,1481.2,78302000.0,1507.98,0.0,468504000.0
07-28-2009,Property,933.41,954.65,930.7,195617000.0,947.78,0.0,746674000.0
07-28-2009,Services,1373.36,1374.41,1362.91,-11636000.0,1364.91,0.0,561678000.0
07-28-2009,MiningAndOil,6786.88,6912.47,6720.52,-31201000.0,6908.52,0.0,301875000.0
07-28-2009,All Shares,1753.85,1756.59,1735.39,0.0,1739.21,0.0,0.0
07-28-2009,PSEi,2768.76,2775.66,2735.39,736236000.0,2746.32,0.0,4184297000.0
07-29-2009,Financials,583.18,587.32,581.39,-49342000.0,584.42,0.0,243941000.0
07-29-2009,Industrials,4567.67,4636.91,4511.55,2093304000.0,4511.55,0.0,5297021000.0
07-29-2009,HoldingFirms,1507.8,1509.44,1487.66,51411000.0,1487.66,0.0,632867000.0
07-29-2009,Property,955.09,958.6,926.75,41888000.0,927.08,0.0,922373000.0
07-29-2009,Services,1379.14,1384.48,1373.56,28830000.0,1373.62,0.0,404769000.0
07-29-2009,MiningAndOil,6701.08,6796.34,6638.78,-32610000.0,6724.59,0.0,255159000.0
07-29-2009,All Shares,1781.32,1789.72,1760.81,0.0,1760.81,0.0,0.0
07-29-2009,PSEi,2803.39,2820.05,2777.7,2136077000.0,2777.7,0.0,7756133000.0
07-30-2009,Financials,584.74,588.33,580.89,13864000.0,584.26,0.0,447590000.0
07-30-2009,Industrials,4235.39,4352.69,3962.03,-80135000.0,4168.09,0.0,1330420000.0
07-30-2009,HoldingFirms,1499.25,1502.24,1480.28,35655000.0,1502.24,0.0,778004000.0
07-30-2009,Property,947.56,957.48,932.91,33286000.0,957.48,0.0,628215000.0
07-30-2009,Services,1413.95,1415.43,1402.59,102928000.0,1409.29,0.0,2659701000.0
07-30-2009,MiningAndOil,6591.8,6671.53,6531.37,4914000.0,6671.53,0.0,125727000.0
07-30-2009,All Shares,1755.69,1762.13,1726.18,0.0,1750.38,0.0,0.0
07-30-2009,PSEi,2764.98,2778.56,2711.51,-1647478000.0,2756.3,0.0,5969659000.0
07-31-2009,Financials,600.83,602.07,588.57,282910000.0,588.57,0.0,824200000.0
